"Part";"Value";"Device";"Package";"Description";"24AA";
"C1";"0.1uF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";
"C2";"0.1uF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";
"C3";"0.1uF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";
"C4";"0.1uF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";
"C5";"0.1uF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";
"C6";"0.1uF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";
"C7";"0.1uF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";
"C8";"0.1uF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";
"C9";"0.1uF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";
"C10";"0.1uF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";
"C11";"1uF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";
"C12";"1uf";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";
"C13";"1uF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";
"C14";"10uF";"CPOL-EUSMCA";"SMC_A";"POLARIZED CAPACITOR, European symbol";"";
"C15";"10uF";"CPOL-EUSMCA";"SMC_A";"POLARIZED CAPACITOR, European symbol";"";
"D1";"";"MBR0520LT";"SOD123";"SCHOTTKY BARRIER RECTIFIER";"";
"D2";"";"MBR0520LT";"SOD123";"SCHOTTKY BARRIER RECTIFIER";"";
"D3";"";"MBR0520LT";"SOD123";"SCHOTTKY BARRIER RECTIFIER";"";
"IC1";"PIC24FJ256GB106";"PIC24FJ256GB106";"TQFP64-10X10";"16-Bit Flash Microcontroller with USB On-The-Go(OTG)";"";
"IC2";"4066TS";"4066TS";"40XX_TSSOP14";"Quad bilateral ANALOG SWITCH";"";
"IC3";"24AASOT-23-5";"24AA";"SOT-23-5";"";"24AA";
"ICSP";"CON_HEADER_PRG_PIC_ICSP-POGO-FOOTPRINT";"CON_HEADER_PRG_PIC_ICSP-POGO-FOOTPRINT";"CON_POGO_ICSP_TARGET";"5-pin PIC In Circuit Serial Programming header";"";
"IO";"PINSHRD-PTH-2X06";"PINSHRD-PTH-2X06";"PINSHRD_PTH_2X06";"Shrouded pin header, 2.54mm pitch";"";
"JP1";"";"PINHD-1X02_2.54-S";"1X02-S";"PIN HEADER";"";
"L1";"700mA+ ferrite bead";"WE-KIL_0805";"WE-KI_0805_B";"SMD Wire Wound Ceramic Inductor WE-KIL";"";
"LED1";"";"LEDCHIP-LED0805";"CHIP-LED0805";"LED";"";
"LED1A";"";"LEDCHIP-LED0805";"CHIP-LED0805";"LED";"";
"LED2";"";"LEDCHIP-LED0805";"CHIP-LED0805";"LED";"";
"LED2A";"";"LEDCHIP-LED0805";"CHIP-LED0805";"LED";"";
"LED3";"";"LEDCHIP-LED0805";"CHIP-LED0805";"LED";"";
"LED3A";"";"LEDCHIP-LED0805";"CHIP-LED0805";"LED";"";
"LED4";"";"LEDCHIP-LED0805";"CHIP-LED0805";"LED";"";
"LED4A";"";"LEDCHIP-LED0805";"CHIP-LED0805";"LED";"";
"LOGO1";"LOGO_CC-0";"LOGO_CC-0";"LOGO_CC-0";"";"";
"NORMAL";"SMD_TACT_SMALL";"SMD_TACT_SMALL";"TACT_SWITCH_SMALL";"";"";
"PCB1";"PCB_DP_RECTANGLE-43X70";"PCB_DP_RECTANGLE-43X70";"DP7043_V1";"Dangerous Prototypes Standard Rectangular PCB sizes";"";
"Q1";"";"MMBTA56-SOT23";"SOT23";"PNP Transistor";"";
"Q2";"";"MMBTA56-SOT23";"SOT23";"PNP Transistor";"";
"R1";"1K";"RESISTOR-0603";"R603";"";"";
"R2";"1K";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";
"R3";"1K1";"RESISTOR-0603";"R603";"";"";
"R4";"1K1";"RESISTOR-0603";"R603";"";"";
"R5";"1K1";"RESISTOR-0603";"R603";"";"";
"R6";"1K1";"RESISTOR-0603";"R603";"";"";
"R7";"2K";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";
"R8";"2K";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";
"R9";"2K";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";
"R10";"2K";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";
"R11";"10K";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";
"R12";"10K";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";
"R13";"10K";"RESISTOR-0603";"R603";"";"";
"R14";"10K";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";
"R15";"100K";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";
"RESET";"SMD_TACT_SMALL";"SMD_TACT_SMALL";"TACT_SWITCH_SMALL";"";"";
"RN1";"10k";"RNETWORK";"RN8P-4R-CRA06S";"4 Resistor Array 0603";"";
"RN2";"10k";"RNETWORK";"RN8P-4R-CRA06S";"4 Resistor Array 0603";"";
"RN3";"10k";"RNETWORK";"RN8P-4R-CRA06S";"4 Resistor Array 0603";"";
"USB";"USB mini-b";"CON-USB-MINI-BUSB1";"CONN_USB_MINI-B";"USB connector";"";
"VR1";"MCP1801T-3302I/OT";"MIC5205";"SOT-23-5";"150ma Low-Noise LDO Regulator";"";
"VR2";"MCP1801T-3302I/OT";"MIC5205";"SOT-23-5";"150ma Low-Noise LDO Regulator";"";
"VR3";"MCP1801T-5002I/OT";"MIC5205";"SOT-23-5";"150ma Low-Noise LDO Regulator";"";
"X1";"CRYSTAL_212M_";"CRYSTAL_212M_";"4X6";"";"";
