"Part";"Value";"Device";"Package";"Description";"BUILT_BY";"COPYRIGHT";"DESIGNER";"MANUFACTURER_PART_NUMBER";"PROD_ID";"SF_ID";"SOURCELIBRARY";"VALUE";"VENDOR";"VERSION";
"C1";"0.1uF";"0.1UF-0603-25V-(+80/-20%)";"0603";"0.1µF ceramic capacitors";"";"";"";"";"CAP-00810";"";"";"0.1uF";"";"";
"C2";"4.7uF";"4.7UF-0603-6.3V-(10%)";"0603";"4.7µF ceramic capacitors";"";"";"";"";"CAP-08280";"";"";"4.7uF";"";"";
"C3";"4.7uF";"4.7UF-0603-6.3V-(10%)";"0603";"4.7µF ceramic capacitors";"";"";"";"";"CAP-08280";"";"";"4.7uF";"";"";
"C4";"1.0uF";"1.0UF-0603-16V-10%";"0603";"1µF ceramic capacitors";"";"";"";"";"CAP-00868";"";"";"1.0uF";"";"";
"C5";"1.0uF";"1.0UF-0603-16V-10%";"0603";"1µF ceramic capacitors";"";"";"";"";"CAP-00868";"";"";"1.0uF";"";"";
"C6";"15pF";"15PF-0603-50V-5%";"0603";"15pF ceramic capacitors";"";"";"";"";"CAP-07881";"";"";"15pF";"";"";
"C7";"15pF";"15PF-0603-50V-5%";"0603";"15pF ceramic capacitors";"";"";"";"";"CAP-07881";"";"";"15pF";"";"";
"C8";"10uF";"10UF-0603-6.3V-20%";"0603";"10.0µF ceramic capacitors";"";"";"";"";"CAP-11015";"";"";"10uF";"";"";
"C9";"1.0uF";"1.0UF-0603-16V-10%";"0603";"1µF ceramic capacitors";"";"";"";"";"CAP-00868";"";"";"1.0uF";"";"";
"C10";"0.1uF";"0.1UF-0603-25V-(+80/-20%)";"0603";"0.1µF ceramic capacitors";"";"";"";"";"CAP-00810";"";"";"0.1uF";"";"";
"C11";"0.1uF";"0.1UF-0603-25V-(+80/-20%)";"0603";"0.1µF ceramic capacitors";"";"";"";"";"CAP-00810";"";"";"0.1uF";"";"";
"C12";"10nF";"10NF-0603-50V-10%";"0603";"0.01uF/10nF/10,000pF ceramic capacitors";"";"";"";"";"CAP-00867";"";"";"10nF";"";"";
"C13";"0.1uF";"0.1UF-0603-25V-(+80/-20%)";"0603";"0.1µF ceramic capacitors";"";"";"";"";"CAP-00810";"";"";"0.1uF";"";"";
"C15";"1nF";"1.0NF/1000PF-0603-50V-10%";"0603";"1nF/1,000pF ceramic capacitors";"";"";"";"";"CAP-07886";"";"";"1nF";"";"";
"C16";"47pF";"47PF-0603-50V-5%";"0603";"47pF ceramic capacitors";"";"";"";"";"CAP-08913";"";"";"47pF";"";"";
"C17";"10pF";"10PF-0603-50V-5%";"0603";"10pF ceramic capacitors";"";"";"";"";"CAP-11812";"";"";"10pF";"";"";
"D1";"Yellow";"LED-YELLOW0603";"LED-0603";"Yellow SMD LED";"";"";"";"";"DIO-09003";"";"";"Yellow";"";"";
"D2";"3A/10V/280mV";"DIODE-SCHOTTKY-BAT60A";"SOD-323";"Schottky diode";"";"";"";"";"DIO-14072";"";"";"3A/10V/280mV";"";"";
"D3";"3A/10V/280mV";"DIODE-SCHOTTKY-BAT60A";"SOD-323";"Schottky diode";"";"";"";"";"DIO-14072";"";"";"3A/10V/280mV";"";"";
"D4";"RED";"LED-RED0603";"LED-0603";"Red SMD LED";"";"";"";"";"DIO-00819";"";"";"RED";"";"";
"D5";"GREEN";"LED-GREEN0603";"LED-0603";"Green SMD LED";"";"";"";"";"DIO-00821";"";"";"GREEN";"";"";
"D6";"Yellow";"LED-YELLOW0603";"LED-0603";"Yellow SMD LED";"";"";"";"";"DIO-09003";"";"";"Yellow";"";"";
"D7";"BLUE";"LED-BLUE0603";"LED-0603";"Blue SMD LED";"";"";"";"";"DIO-08575";"";"";"BLUE";"";"";
"FD1";"FIDUCIALUFIDUCIAL";"FIDUCIALUFIDUCIAL";"FIDUCIAL-MICRO";"Fiducial Alignment Points";"";"";"";"";"";"";"";"";"";"";
"FD2";"FIDUCIALUFIDUCIAL";"FIDUCIALUFIDUCIAL";"FIDUCIAL-MICRO";"Fiducial Alignment Points";"";"";"";"";"";"";"";"";"";"";
"FD3";"FIDUCIALUFIDUCIAL";"FIDUCIALUFIDUCIAL";"FIDUCIAL-MICRO";"Fiducial Alignment Points";"";"";"";"";"";"";"";"";"";"";
"FD4";"FIDUCIALUFIDUCIAL";"FIDUCIALUFIDUCIAL";"FIDUCIAL-MICRO";"Fiducial Alignment Points";"";"";"";"";"";"";"";"";"";"";
"FRAME1";"FRAME-LETTER";"FRAME-LETTER";"CREATIVE_COMMONS";"Schematic Frame - Letter";"";"";"";"";"";"";"";"";"";"";
"FRAME2";"FRAME-LETTERNO_PACKAGE";"FRAME-LETTERNO_PACKAGE";"DUMMY";"Schematic Frame - Letter";"";"";"Nobody";"";"";"";"";"";"";"v01";
"H1";"STAND-OFF";"STAND-OFF";"STAND-OFF";"Stand Off";"";"";"";"";"";"";"";"";"";"";
"H2";"STAND-OFF";"STAND-OFF";"STAND-OFF";"Stand Off";"";"";"";"";"";"";"";"";"";"";
"H3";"STAND-OFF";"STAND-OFF";"STAND-OFF";"Stand Off";"";"";"";"";"";"";"";"";"";"";
"H4";"STAND-OFF";"STAND-OFF";"STAND-OFF";"Stand Off";"";"";"";"";"";"";"";"";"";"";
"ISO";"JUMPER-SMT_2_NC_TRACE_SILK";"JUMPER-SMT_2_NC_TRACE_SILK";"SMT-JUMPER_2_NC_TRACE_SILK";"Normally closed trace jumper";"";"";"";"";"";"";"";"";"";"";
"J1";"";"JST_2MM_MALE";"JST-2-SMD";"JST 2MM MALE RA CONNECTOR";"";"";"";"";"CONN-11443";"PRT-08612";"";"";"";"";
"J2";"CORTEX_DEBUG";"CORTEX_DEBUG_MINIMUM_PTH_NS";"2X5-PTH-1.27MM-NO_SILK";"Cortex Debug Connector - 10 pin";"";"";"";"";"";"";"";"";"";"";
"J3";"";"CONN_12SM_SQ_NO_SILK";"1X12_SM_SQ_NOSILK";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";"";"";"";"";"";"";
"J4";"";"CONN_161X16_SM_SQ_NOSILK";"1X16_SM_SQ_NOSILK";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";"";"";"";"";"";"";
"J5";"USB Female Type C Connector";"USB_C_4-LAYER-ISOLATED";"USB-C-16P-4LAYER-ISOLATED";"USB Type C 16Pin Connector";"";"";"";"";"CONN-14122";"";"";"USB Female Type C Connector";"";"";
"J6";"QWIIC_RA";"QWIIC_CONNECTORJS-1MM";"JST04_1MM_RA";"SparkFun I2C Standard Qwiic Connector";"";"";"";"";"CONN-13694";"";"";"QWIIC_RIGHT_ANGLE";"";"";
"J8";"U.FL";"U.FL";"U.FL";"SMD Antenna Connector - U.FL";"";"";"";"";"CONN-09193";"WRL-09144";"";"U.FL";"";"";
"LED";"JUMPER-SMT_2_NC_TRACE_SILK";"JUMPER-SMT_2_NC_TRACE_SILK";"SMT-JUMPER_2_NC_TRACE_SILK";"Normally closed trace jumper";"";"";"";"";"";"";"";"";"";"";
"LOGO1";"OSHW-LOGOS";"OSHW-LOGOS";"OSHW-LOGO-S";"Open-Source Hardware (OSHW) Logo";"";"";"";"";"";"";"";"";"";"";
"LOGO2";"QWIIC_LOGO_5MM";"QWIIC_LOGO_5MM";"QWIIC_5MM";"Qwiic Logos for placement on schematic and PCB. The 5.5mm silk logo is best for placing next to Qwiic connector.";"";"";"";"";"";"";"";"";"";"";
"LOGO3";"SFE_LOGO_NAME_FLAME.1_INCH";"SFE_LOGO_NAME_FLAME.1_INCH";"SFE_LOGO_NAME_FLAME_.1";"SparkFun Font Logo w/ Flame";"";"";"";"";"";"";"";"";"";"";
"LOGO4";"SPECIAL_INSTRUCTIONS-ORDERING";"SPECIAL_INSTRUCTIONS-ORDERING";"ORDERING_INSTRUCTIONS";"Special Ordering/Production Instructions Alert";"";"";"";"";"";"";"";"";"";"";
"R1";"1k";"1KOHM-0603-1/10W-1%";"0603";"1kΩ resistor";"";"";"";"";"RES-07856";"";"";"1k";"";"";
"R2";"2.0k";"2.0KOHM-0603-1/10W-5%";"0603";"2kΩ resistor";"";"";"";"";"RES-08296";"";"";"2.0k";"";"";
"R3";"10k";"10KOHM-0603-1/10W-1%";"0603";"10kΩ resistor";"";"";"";"";"RES-00824";"";"";"10k";"";"";
"R4";"1k";"1KOHM-0603-1/10W-1%";"0603";"1kΩ resistor";"";"";"";"";"RES-07856";"";"";"1k";"";"";
"R5";"5.1k";"5.1KOHM5.1KOHM-0603-1/10W-1%";"0603";"";"";"";"";"";"RES-12083";"";"";"5.1k";"";"";
"R6";"5.1k";"5.1KOHM5.1KOHM-0603-1/10W-1%";"0603";"";"";"";"";"";"RES-12083";"";"";"5.1k";"";"";
"R7";"1k";"1KOHM-0603-1/10W-1%";"0603";"1kΩ resistor";"";"";"";"";"RES-07856";"";"";"1k";"";"";
"R8";"1k";"1KOHM-0603-1/10W-1%";"0603";"1kΩ resistor";"";"";"";"";"RES-07856";"";"";"1k";"";"";
"R10";"220k";"220KOHM-0603-1/10W-1%";"0603";"220kΩ resistor";"";"";"";"";"RES-08969";"";"";"220k";"";"";
"R11";"100k";"100KOHM-0603-1/10W-1%";"0603";"100kΩ resistor";"";"";"";"";"RES-07828";"";"";"100k";"";"";
"R12";"1k";"1KOHM-0603-1/10W-1%";"0603";"1kΩ resistor";"";"";"";"";"RES-07856";"";"";"1k";"";"";
"RTS";"JUMPER-SMT_2_NC_TRACE_SILK";"JUMPER-SMT_2_NC_TRACE_SILK";"SMT-JUMPER_2_NC_TRACE_SILK";"Normally closed trace jumper";"";"";"";"";"";"";"";"";"";"";
"S1";"RESET";"MOMENTARY-SWITCH-SPST-SMD-4.6X2.8MM";"TACTILE_SWITCH_SMD_4.6X2.8MM";"Momentary Switch (Pushbutton) - SPST";"";"";"";"";"SWCH-13065";"";"";"";"";"";
"S2";"USER";"MOMENTARY-SWITCH-SPST-SMD-4.6X2.8MM";"TACTILE_SWITCH_SMD_4.6X2.8MM";"Momentary Switch (Pushbutton) - SPST";"";"";"";"";"SWCH-13065";"";"";"";"";"";
"TP1";"TEST-POINTTP_15TH_THRU";"TEST-POINTTP_15TH_THRU";"TP_15TH";"SparkFun Test Points";"";"";"";"";"";"";"";"";"";"";
"TP2";"TEST-POINTTP_15TH_THRU";"TEST-POINTTP_15TH_THRU";"TP_15TH";"SparkFun Test Points";"";"";"";"";"";"";"";"";"";"";
"TP3";"TEST-POINTTP_15TH_THRU";"TEST-POINTTP_15TH_THRU";"TP_15TH";"SparkFun Test Points";"";"";"";"";"";"";"";"";"";"";
"TP4";"TEST-POINTTP_15TH_THRU";"TEST-POINTTP_15TH_THRU";"TP_15TH";"SparkFun Test Points";"";"";"";"";"";"";"";"";"";"";
"TP5";"TEST-POINTTP_15TH_THRU";"TEST-POINTTP_15TH_THRU";"TP_15TH";"SparkFun Test Points";"";"";"";"";"";"";"";"";"";"";
"TP6";"TEST-POINTTP_15TH_THRU";"TEST-POINTTP_15TH_THRU";"TP_15TH";"SparkFun Test Points";"";"";"";"";"";"";"";"";"";"";
"U1";"MCP73831";"MCP73831";"SOT23-5";"MCP73831T Li-Ion, Li-Pol Controller";"";"";"";"";"IC-09995";"";"";"";"";"";
"U2";"3.3V";"V_REG_AP2112K-3.3V";"SOT23-5";"AP2112 - 600mA CMOS LDO Regulator w/ Enable";"";"";"";"";"VREG-12457";"";"";"3.3V";"";"";
"U3";"NM180100";"NM180100";"LGA81";"";"";"";"";"";"IC-15464";"";"";"";"";"";
"U4";"CH340E_MSOP10";"CH340E_MSOP10";"MSOP10";"";"";"";"";"";"IC-14135";"";"";"";"";"";
"U6";"DPX202700DT-4162A1";"DPX202700DT-4162A1";"RF_4060A1_TDK";"";"EMA_Matt";"Copyright (C) 2018 Accelerated Designs. All rights reserved";"";"DPX202700DT-4162A1";"IC-15465";"";"TDK_2019-10-09";"";"TDK";"";
"Y1";"32.768kHz";"CRYSTAL-32.768KHZSMD-3.2X1.5";"CRYSTAL-SMD-3.2X1.5MM";"32.768kHz Crystal";"";"";"";"";"XTAL-13062";"";"";"32.768kHz";"";"";
